iter	Logloss
0	0.535727561
1	0.4503040594
2	0.4064599572
3	0.3839046452
4	0.3709872469
5	0.3628909922
6	0.3585393834
7	0.355044801
8	0.3528456849
9	0.3511892149
10	0.3497409629
11	0.3485081526
12	0.3477680766
13	0.3470489502
14	0.3462753859
15	0.3457856177
16	0.345054289
17	0.3444389416
18	0.3441229056
19	0.3437371705
20	0.3435285667
21	0.3432423759
22	0.3430143402
23	0.3427866545
24	0.3424927123
25	0.3422547425
26	0.3421187206
27	0.3418969225
28	0.3415090887
29	0.34129014
30	0.3410826038
31	0.3409589221
32	0.3408487354
33	0.3407046701
34	0.3405997746
35	0.3404839643
36	0.3402556394
37	0.3400837509
38	0.3398680966
39	0.3396469921
40	0.3394424999
41	0.3393300473
42	0.3392609018
43	0.3391166524
44	0.3389187952
45	0.3387398445
46	0.3386787373
47	0.3385492375
48	0.3383047138
49	0.3381565886
50	0.337964274
51	0.3377021033
52	0.3373206993
53	0.3371992922
54	0.3370279643
55	0.3369406727
56	0.3368050696
57	0.3366808755
58	0.3364780038
59	0.3363510588
60	0.3363254436
61	0.3361816378
62	0.3360058365
63	0.3359134226
64	0.3358727094
65	0.3357150501
66	0.3355419185
67	0.335307642
68	0.3351004079
69	0.3349731728
70	0.3348967522
71	0.3347577479
72	0.3345923895
73	0.3344327298
74	0.3343369107
75	0.3341942939
76	0.3340712631
77	0.333909025
78	0.3337969378
79	0.333672436
80	0.3336026022
81	0.3335257776
82	0.3334609897
83	0.3333723786
84	0.333309134
85	0.3332514407
86	0.3331486136
87	0.3329881875
88	0.3328544306
89	0.3326689364
90	0.3324635842
91	0.3323175054
92	0.3322184646
93	0.3321536662
94	0.3320400158
95	0.3319259921
96	0.3318396926
97	0.3317601357
98	0.3316654325
99	0.3315411229
100	0.3313201674
101	0.3311653512
102	0.3309635668
103	0.3308982932
104	0.3308424688
105	0.3306973867
106	0.3306741577
107	0.3306069658
108	0.3305630897
109	0.3304884432
110	0.3304291747
111	0.330326293
112	0.3302244195
113	0.3301751803
114	0.3300019379
115	0.3298495748
116	0.3297406296
117	0.3296747466
118	0.3295668296
119	0.3294236038
120	0.3293100707
121	0.3291235161
122	0.3290205455
123	0.3289039105
124	0.3288978069
125	0.3287979534
126	0.328700753
127	0.3285564958
128	0.3284665493
129	0.3283533327
130	0.3282269335
131	0.3281484235
132	0.3279686696
133	0.327782663
134	0.3277163546
135	0.3276929048
136	0.3275926404
137	0.3274698364
138	0.3273900277
139	0.3273451275
140	0.3272821369
141	0.3271120092
142	0.3270088131
143	0.3268943596
144	0.3267531247
145	0.3266669188
146	0.3265967297
147	0.3265624383
148	0.326382458
149	0.3262951727
150	0.3262896523
151	0.326202665
152	0.3260785907
153	0.3260158952
154	0.3259060482
155	0.325813806
156	0.3257007262
157	0.3256705552
158	0.3256169757
159	0.3255321657
160	0.3254456851
161	0.3253727529
162	0.3251351743
163	0.3250762784
164	0.3249691622
165	0.324861212
166	0.3247510397
167	0.3246653151
168	0.324613026
169	0.3245258289
170	0.3244931665
171	0.3243245268
172	0.3242960494
173	0.3242793383
174	0.3241318738
175	0.3240639736
176	0.3240133904
177	0.3239096084
178	0.3238732071
179	0.3238032878
180	0.3237507092
181	0.3236686677
182	0.3235625388
183	0.3235565324
184	0.323382123
185	0.3232469292
186	0.3231596694
187	0.3230738309
188	0.3229019903
189	0.3228168892
190	0.3226768701
191	0.3225822834
192	0.3225077736
193	0.3224231361
194	0.3223257881
195	0.3222286309
196	0.3221590192
197	0.3221026743
198	0.3220590422
199	0.3219865406
200	0.3218091598
201	0.3217124043
202	0.321613625
203	0.3215467446
204	0.3213944011
205	0.3213172166
206	0.3211511776
207	0.3211467641
208	0.3210488755
209	0.3209830709
210	0.320812902
211	0.320705546
212	0.3206107388
213	0.32054477
214	0.320420279
215	0.3203457993
216	0.3202391805
217	0.3201498798
218	0.32003489
219	0.3199348903
220	0.3197680548
221	0.319682986
222	0.3196438785
223	0.3195759359
224	0.3194896231
225	0.3193365951
226	0.3192608932
227	0.3191791273
228	0.3191272951
229	0.3190847183
230	0.3190385262
231	0.3189067311
232	0.3187361022
233	0.3186189016
234	0.3184462334
235	0.3183196092
236	0.3182455075
237	0.3181431956
238	0.3180398546
239	0.3180005484
240	0.3179106611
241	0.317811864
242	0.3177022052
243	0.3176237166
244	0.3175104874
245	0.3174574833
246	0.3174055284
247	0.3173043057
248	0.3172227965
249	0.3171893882
250	0.3170506745
251	0.3169322897
252	0.3167910126
253	0.3167151527
254	0.3166668388
255	0.3165204275
256	0.3163475733
257	0.3162420806
258	0.3161789572
259	0.3161392054
260	0.3160589509
261	0.3159759015
262	0.315847884
263	0.3156815125
264	0.3156730573
265	0.3156193868
266	0.3154815421
267	0.3154263636
268	0.3153091366
269	0.3152501047
270	0.3151888566
271	0.3149942299
272	0.3147880776
273	0.3146816666
274	0.3145660974
275	0.3143819832
276	0.3142490274
277	0.3140902247
278	0.3140523967
279	0.3139831804
280	0.31394469
281	0.3138846565
282	0.3137685112
283	0.3136902737
284	0.3136515652
285	0.3135800397
286	0.3135238281
287	0.3133962015
288	0.3132761466
289	0.3132001565
290	0.3130734716
291	0.3129489928
292	0.3129278686
293	0.3128214484
294	0.3126837123
295	0.3126371657
296	0.3125416218
297	0.3124738686
298	0.3124053604
299	0.3122723641
300	0.3121949074
301	0.312100671
302	0.3119725696
303	0.3118671402
304	0.311786842
305	0.3117101347
306	0.3116006542
307	0.3115293022
308	0.3114708563
309	0.3113767351
310	0.3112956222
311	0.3111505301
312	0.3110498592
313	0.3109668713
314	0.3108052561
315	0.310694967
316	0.3106493877
317	0.3105365684
318	0.3104540482
319	0.3103789872
320	0.3102398797
321	0.3101552842
322	0.3100936577
323	0.3099675247
324	0.3099119176
325	0.3098669968
326	0.3098315989
327	0.3097486139
328	0.3096128006
329	0.3095470567
330	0.3095018683
331	0.3094115573
332	0.3093787251
333	0.3093416416
334	0.3092823642
335	0.3091954801
336	0.3090914559
337	0.3089976084
338	0.3089733943
339	0.3088804936
340	0.3088010583
341	0.3087129447
342	0.3086457815
343	0.3085423319
344	0.3084202974
345	0.3083562177
346	0.3083161136
347	0.308194815
348	0.3081411923
349	0.3080749871
350	0.3080339495
351	0.3079653005
352	0.3078468412
353	0.3077584058
354	0.3077395952
355	0.3076377216
356	0.3075419146
357	0.3073845176
358	0.3073134174
359	0.3072743163
360	0.307177742
361	0.3071483625
362	0.3070953887
363	0.3069708588
364	0.3069418156
365	0.3068514678
366	0.3067769494
367	0.3066852344
368	0.3066132918
369	0.3065627849
370	0.3063864117
371	0.30628011
372	0.3061690435
373	0.306139588
374	0.3060649741
375	0.305995868
376	0.3059424976
377	0.3059028705
378	0.3057560079
379	0.3057033438
380	0.3056745999
381	0.3055491642
382	0.305486302
383	0.3054517815
