iter	Passed	Remaining
399	42438	26524
400	42521	26403
401	42643	26307
402	42767	26212
403	42888	26115
404	43028	26029
405	43140	25926
406	43254	25824
407	43359	25718
408	43456	25606
409	43561	25499
410	43683	25402
411	43820	25313
412	43952	25222
413	44042	25106
414	44142	24996
415	44262	24897
416	44385	24800
417	44494	24695
418	44608	24593
419	44726	24493
420	44836	24388
421	44938	24279
422	45084	24194
423	45199	24092
424	45305	23985
425	45409	23877
426	45520	23772
427	45620	23662
428	45737	23561
429	45855	23461
430	45966	23356
431	46072	23249
432	46173	23139
433	46272	23029
434	46365	22916
435	46499	22823
436	46620	22723
437	46718	22612
438	46851	22518
439	46961	22413
440	47065	22305
441	47171	22198
442	47272	22088
443	47386	21985
444	47488	21876
445	47577	21762
446	47704	21664
447	47815	21559
448	47927	21455
449	48045	21353
450	48178	21258
451	48309	21162
452	48409	21052
453	48525	20949
454	48643	20847
455	48765	20746
456	48887	20646
457	48985	20535
458	49128	20443
459	49234	20336
460	49359	20236
461	49487	20137
462	49590	20029
463	49715	19928
464	49855	19835
465	49971	19731
466	50066	19619
467	50175	19512
468	50298	19411
469	50429	19313
470	50541	19208
471	50675	19110
472	50798	19009
473	50923	18908
474	51045	18806
475	51162	18702
476	51299	18605
477	51429	18506
478	51549	18402
479	51684	18304
480	51800	18200
481	51880	18082
482	51979	17972
483	52087	17864
484	52217	17764
485	52335	17660
486	52450	17555
487	52577	17454
488	52664	17339
489	52808	17243
490	52905	17132
491	52999	17020
492	53122	16917
493	53242	16813
494	53369	16711
495	53464	16599
496	53579	16494
497	53711	16393
498	53825	16287
499	53945	16183
500	54100	16089
501	54198	15978
502	54306	15870
503	54433	15768
504	54560	15665
505	54667	15557
506	54814	15460
507	54933	15355
508	55032	15244
509	55128	15133
510	55251	15029
511	55375	14925
512	55493	14819
513	55605	14712
514	55742	14612
515	55863	14507
516	55988	14403
517	56107	14297
518	56225	14191
519	56337	14084
520	56460	13979
521	56570	13871
522	56671	13761
523	56799	13657
524	56904	13548
525	57017	13441
526	57142	13336
527	57286	13236
528	57425	13135
529	57525	13024
530	57631	12915
531	57736	12806
532	57841	12696
533	57962	12591
534	58081	12484
535	58197	12377
536	58333	12275
537	58457	12169
538	58560	12059
539	58699	11957
540	58806	11848
541	58923	11741
542	59053	11636
543	59185	11532
544	59329	11430
545	59457	11325
546	59552	11213
547	59677	11107
548	59801	11001
549	59903	10891
550	60024	10784
551	60136	10676
552	60260	10570
553	60366	10460
554	60507	10357
555	60608	10246
556	60724	10138
557	60871	10036
558	60998	9929
559	61124	9823
560	61227	9713
561	61313	9600
562	61438	9494
563	61548	9385
564	61672	9278
565	61781	9168
566	61899	9061
567	62004	8951
568	62138	8845
569	62254	8737
570	62373	8629
571	62471	8518
572	62566	8407
573	62670	8297
574	62803	8191
575	62901	8081
576	63015	7972
577	63159	7867
578	63282	7760
579	63384	7649
580	63506	7542
581	63639	7435
582	63745	7325
583	63869	7218
584	63983	7109
585	64128	7003
586	64236	6894
587	64369	6787
588	64492	6679
589	64608	6570
590	64748	6463
591	64854	6354
592	64977	6245
593	65075	6135
594	65184	6025
595	65320	5918
596	65434	5809
597	65555	5700
598	65666	5590
599	65805	5483
600	65932	5375
601	66063	5267
602	66195	5159
603	66311	5050
604	66425	4940
605	66534	4830
606	66635	4720
607	66752	4611
608	66872	4502
609	67021	4394
610	67134	4285
611	67261	4176
612	67411	4068
613	67528	3959
614	67669	3851
615	67761	3740
616	67871	3630
617	67999	3521
618	68117	3411
619	68250	3302
620	68370	3192
621	68495	3083
622	68645	2975
623	68769	2865
624	68881	2755
625	69022	2646
626	69134	2536
627	69269	2426
628	69373	2316
629	69479	2205
630	69592	2095
631	69727	1985
632	69842	1875
633	69992	1766
634	70113	1656
635	70249	1546
636	70384	1436
637	70481	1325
638	70605	1215
639	70730	1105
640	70852	994
641	70954	884
642	71075	773
643	71200	663
644	71321	552
645	71465	442
646	71575	331
647	71692	221
648	71813	110
649	71928	0
